"","cui","term","relatedness_to_target_disease","importance_score","high_confidence_level","high_confidence_level_dict"
"334","C2242855","personal hygiene (history)","0.1195","0.0653","0","0"
"335","C1847835","VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)","0.1344","0.0651","0","0"
"336","C1318464","Occupational therapy regime","0.132","0.0647","0","0"
"337","C3714745","Malabsorption","0.151","0.0644","0","0"
"338","C1286385","Work Performance","0.1143","0.064","0","0"
"339","C3887873","Hearing Loss","0.1982","0.0637","0","0"
"340","C3813607","Infantile Gastroesophageal Reflux","0.114","0.0636","0","0"
"341","C0870383","Cued Recall","0.1356","0.0636","0","0"
"342","C1868675","PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE","0.1196","0.0634","0","0"
"343","C2029884","hearing loss by exam","0.1968","0.0633","0","0"
"344","C0871754","Frail","0.1391","0.0624","0","0"
"345","C3844714","No improvement","0.1216","0.0623","0","0"
"346","C4042877","Clinical Decision-Making","0.1474","0.0622","0","0"
"347","C4050513","Minor Response","0.1343","0.0621","0","0"
"348","C0028263","Noise","0.1523","0.0619","0","0"
"349","C3887605","Nightmare Disorder","0.17","0.0617","0","0"
"350","C3538874","Stable chronic Graft vs Host Disease","0.1262","0.0617","0","0"
"351","C3697880","Intractable nausea and vomiting","0.0962","0.0616","0","0"
"352","C0030232","Pallor","0.1039","0.0616","0","0"
"353","C0123091","quetiapine","0.0954","0.0616","0","0"
"354","C5401372","CTRP Disease Finding","0.1043","0.0613","0","0"
"355","C3814778","Hemolytic Index","0.1719","0.061","0","0"
"356","C0018249","Grooming","0.1005","0.061","0","0"
"357","C2018123","speech or language or cognitive therapy compensatory strategies","0.1005","0.0604","0","0"
"358","C0373527","Acetaminophen Assay","0.0991","0.0601","0","0"
"359","C2917659","Acetaminophen [EPC]","0.099","0.0601","0","0"
"360","C0678215","Patient observed to be pale","0.0992","0.0597","0","0"
"361","C3641766","Very Poor","0.1737","0.0595","0","0"
"362","C4740690","Mild disease","0.1204","0.0593","0","0"
"363","C4522247","Allogeneic Blood Product Donation","0.1044","0.0588","0","0"
"364","C4721418","Legally Separated","0.1638","0.0587","0","0"
"365","C3888013","Hypnosis","0.1154","0.0585","0","0"
"366","C4684790","Study Subject Enrolled","0.0961","0.0583","0","0"
"367","C5203102","RECIL SD","0.1188","0.0581","0","0"
"368","C0439775","Elevation procedure","0.0962","0.0579","0","0"
"369","C1457901","unidentified dose form","0.1206","0.0579","0","0"
"370","C0206275","Widowhood","0.1376","0.0578","0","0"
"371","C0403670","Urinary incontinence of non-organic origin","0.1375","0.0575","0","0"
"372","C5203101","Global Stable Disease in Skin","0.1175","0.0575","0","0"
"373","C4761312","Nutritional Deficiency","0.1247","0.0574","0","0"
"374","C0233522","Inappropriate behavior","0.104","0.0572","0","0"
"375","C0042830","Visual Perception","0.1119","0.0571","0","0"
"376","C3834263","Inactive - answer to question","0.1597","0.0566","0","0"
"377","C0517960","Neurological status: consciousness","0.1251","0.0563","0","0"
"378","C0518088","Reported pain","0.1357","0.0562","0","0"
"379","C4721384","Care plan (regime/therapy)","0.1306","0.0555","0","0"
"380","C4049929","Yeast Present","0.1642","0.0553","0","0"
"381","C3840775","Anticipated","0.0988","0.0553","0","0"
"382","C0600108","Does walk","0.1236","0.0548","0","0"
"383","C4018877","Helpless","0.1179","0.0547","0","0"
"384","C3714625","Neuropathic pain","0.1544","0.053","0","0"
"385","C0427184","No incoordination","0.1326","0.0527","0","0"
"386","C4721534","Chemotherapeutic Perfusion","0.1072","0.0524","0","0"
"387","C5202609","IMWG Minimal Response","0.1118","0.0522","0","0"
"388","C4317146","Acid reflux","0.1117","0.0521","0","0"
"389","C3853703","Pacemaker ECG Assessment","0.1298","0.0521","0","0"
"390","C1880851","Fracture of Medical Device Material","0.0962","0.0518","0","0"
"391","C4724041","irSD (Immune-Related Response Criteria)","0.1031","0.0504","0","0"
"392","C4551761","Excessive daytime sleepiness","0.1067","0.0502","0","0"
"393","C4732837","Leptomeningeal enhancement","0.1096","0.0499","0","0"
"394","C2712089","Able to walk (finding)","0.1002","0.0497","0","0"
"395","C0242297","Dietary Supplementation","0.0998","0.0494","0","0"
"396","C0178638","Folate","0.0971","0.049","0","0"
"397","C5400924","Intensive Care Stay Required","0.0977","0.0488","0","0"
"398","C2973725","Pulmonary arterial hypertension","0.0955","0.0488","0","0"
"399","C0031213","Personality inventories","0.0997","0.0488","0","0"
"400","C2266644","subjective (symptom)","0.1162","0.0484","0","0"
"401","C0426980","Motor symptoms","0.097","0.0481","0","0"
"402","C3897625","Severity of Symptom Score 6","0.1192","0.048","0","0"
"403","C1553770","Education Level - CodeSystem","0.1274","0.0478","0","0"
"404","C3843160","Most of the day","0.1417","0.0477","0","0"
"405","C5441691","CP protein, human","0.111","0.0476","0","0"
"406","C2827071","Unintentional Material Aspiration","0.1111","0.0474","0","0"
"407","C2945761","Alarm (not alarm reaction)","0.1174","0.0466","0","0"
"408","C3854036","Other anti-dementia drug combinations in ATC","0.0982","0.0463","0","0"
"409","C0278061","Abnormal mental state","0.1245","0.0459","0","0"
"410","C0003626","Application of crown","0.1024","0.0458","0","0"
"411","C4086580","Midline Shift","0.1288","0.0458","0","0"
"412","C0489479","Comparison.study","0.1034","0.0455","0","0"
"413","C0518817","Adequate fluid intake","0.0967","0.0455","0","0"
"414","C5392852","Functional Independence","0.1175","0.0453","0","0"
"415","C4082459","Oral hygiene status","0.1109","0.0452","0","0"
"416","C3683798","Graft Procedures on the Head","0.1369","0.0452","0","0"
"417","C4520819","Karyotype result","0.1201","0.045","0","0"
"418","C4082532","Macrophage Colony-Stimulating Factor 1 Receptor, human","0.1009","0.0446","0","0"
"419","C0600261","Telling untruths","0.1575","0.0439","0","0"
"420","C0040264","Tinnitus","0.1507","0.0436","0","0"
"421","C0424092","Withdrawn","0.1432","0.0433","0","0"
"422","C4526661","PSA Level Less than Two","0.0987","0.0431","0","0"
"423","C0231172","handicapping condition","0.1052","0.0429","0","0"
"424","C4721453","Peripheral Nervous System Diseases","0.1266","0.0426","0","0"
"425","C4054315","Organomegaly","0.1162","0.0424","0","0"
"426","C3543842","TONICS","0.096","0.0422","0","0"
"427","C0277814","Sitting position","0.0999","0.0422","0","0"
"428","C4489118","Near complete","0.1097","0.0422","0","0"
"429","C3887524","Skin Erosion","0.1163","0.0418","0","0"
"430","C3537125","Life Threatening or Disabling Adverse Event","0.1175","0.0414","0","0"
"431","C0042029","Urinary tract infection","0.1378","0.0414","0","0"
"432","C0150305","Positioning - therapy","0.1508","0.0413","0","0"
"433","C0022983","Laminectomy","0.1009","0.0408","0","0"
"434","C0557033","Reminding","0.1409","0.0407","0","0"
"435","C0202361","Clonazepam measurement","0.116","0.0407","0","0"
"436","C0700198","Pulmonary aspiration","0.097","0.0401","0","0"
"437","C3540676","Blockade","0.1177","0.0401","0","0"
"438","C4551529","Renal Dialysis","0.1079","0.0397","0","0"
"439","C4476688","Aggravated by activity","0.1019","0.0396","0","0"
"440","C4745335","Initial Diagnosis","0.1115","0.0396","0","0"
"441","C0919241","ASSAY OF HALOPERIDOL","0.1196","0.0395","0","0"
"442","C2322572","showering","0.1315","0.0395","0","0"
"443","C4554599","Kappa chain","0.1139","0.038","0","0"
"444","C5203658","Fasting (regime/therapy)","0.1394","0.0377","0","0"
"445","C3828954","Most of the time","0.1232","0.0377","0","0"
"446","C4521455","Neck Pain Score 4","0.134","0.037","0","0"
"447","C5441781","N-Terminal Fragment Brain Natriuretic Protein, human","0.1089","0.0362","0","0"
"448","C4553162","Normal Activity with No Limitations","0.1281","0.0359","0","0"
"449","C1553188","Hemolysis - observation","0.101","0.0358","0","0"
"450","C3839460","Nonprogressive","0.1066","0.0357","0","0"
"451","C1332206","Adult Lymphoma","0.1034","0.0348","0","0"
"452","C0041296","Tuberculosis","0.0958","0.0329","0","0"
"453","C2364286","Actual Positive Sleep","0.1072","0.0328","0","0"
"454","C4049705","Moderate Extremity Pain","0.1178","0.0325","0","0"
"455","C4300351","Prior functioning.stairs","0.1241","0.0323","0","0"
"456","C4018905","Too early","0.1066","0.032","0","0"
"457","C0185112","Therapeutic Mobilization","0.1143","0.0317","0","0"
"458","C5425799","All other","0.1101","0.0315","0","0"
"459","C3891555","X-ray-Based Angiogram","0.0974","0.0313","0","0"
"460","C0242428","Satisfaction","0.0966","0.03","0","0"
"461","C0748059","Psychiatric History","0.0954","0.0299","0","0"
"462","C0150220","Range of motion exercise","0.118","0.0296","0","0"
"463","C0019360","Herpes zoster disease","0.1086","0.0295","0","0"
"464","C3811844","Estimated Glomerular Filtration Rate","0.0956","0.0268","0","0"
"465","C3897632","Severity of Symptom Score 0","0.0968","0.0263","0","0"
"466","C4319571","High risk","0.0955","0.0233","0","0"
"467","C0022336","Creutzfeldt-Jakob disease","0.3067","","0","0"
"468","C4275079","Posterior cortical atrophy syndrome","0.2943","","0","0"
"469","C2350011","History of recreational shopping","0.2781","","0","0"
"470","C5436521","Loss of language skills","0.2698","","0","0"
"471","C0236791","Childhood disintegrative disorder","0.2676","","0","0"
"472","C1843023","Loss of executive functions","0.2672","","0","0"
"473","C3278119","Neocortical atrophy","0.2613","","0","0"
"474","C4748350","Reduced brain volume","0.2506","","0","0"
"475","C0857143","Marked rigidity","0.2411","","0","0"
"476","C3280382","White matter degeneration","0.2392","","0","0"
"477","C2015933","outcomes otolaryngology hearing","0.2245","","0","0"
"478","C1541844","PRESENILE AND SENILE DEMENTIA","0.2164","","0","0"
"479","C0681592","driver performance","0.2052","","0","0"
"480","C0184958","Toilet procedure","0.1976","","0","0"
"481","C3711381","Hereditary Diffuse Leukoencephalopathy with Spheroids","0.1972","","0","0"
"482","C0544820","Hypomyelination","0.1966","","0","0"
"483","C0022797","Adult Neuronal Ceroid Lipofuscinosis","0.194","","0","0"
"484","C3275075","Died in a Medical Facility","0.1923","","0","0"
"485","C4281802","Spongiform encephalopathy","0.1875","","0","0"
"486","C0233642","Abstract thought disorder","0.1865","","0","0"
"487","C4718756","Type of dementia","0.1861","","0","0"
"488","C0178264","Inflammatory disease of the central nervous system","0.1839","","0","0"
"489","C3553822","Small brain size (some patients)","0.1787","","0","0"
"490","C0036457","Scrapie","0.1767","","0","0"
"491","C1856053","Hydranencephaly with Renal Aplasia-Dysplasia","0.1757","","0","0"
"492","C0917990","Acro-Osteolysis","0.1752","","0","0"
"493","C1545588","Protection","0.1744","","0","0"
"494","C4543822","Gaming disorder","0.1744","","0","0"
"495","C3662068","Static encephalopathy","0.1742","","0","0"
"496","C2227886","PSEN1 gene (procedure)","0.1719","","0","0"
"497","C1858116","Caudate atrophy","0.1717","","0","0"
"498","C0276496","Familial Alzheimer Disease (FAD)","0.1669","","0","0"
"499","C2174421","examination of balance","0.1668","","0","0"
"500","C0751014","Subcortical Infarction","0.1668","","0","0"
"501","C3267084","Amyloid related imaging abnormality-edema/effusion","0.1647","","0","0"
"502","C1849722","Polyglucosan Body Disease, Adult Form","0.1641","","0","0"
"503","C2090600","signed: [use to certify findings in one encounter]","0.164","","0","0"
"504","C2987593","AD-106","0.1627","","0","0"
"505","C5188015","Jornay PM","0.1623","","0","0"
"506","C0040369","Token Economy","0.1614","","0","0"
"507","C0796345","genetic linkage analysis","0.161","","0","0"
"508","C0682075","racial differences","0.1607","","0","0"
"509","C0333644","Acute atrophy","0.1606","","0","0"
"510","C0270489","OTHER MENTAL DISORDERS","0.1598","","0","0"
"511","C0682132","Regional Differences","0.1598","","0","0"
"512","C0151891","Retinal depigmentation","0.1597","","0","0"
"513","C4039175","More Than Words program","0.159","","0","0"
"514","C0521698","Vogt-Koyanagi","0.1585","","0","0"
"515","C0162357","Clodronate","0.1574","","0","0"
"516","C2227888","APOE gene (procedure)","0.1562","","0","0"
"517","C1457883","Aggressive reaction","0.1556","","0","0"
"518","C1311407","PSEN1 protein, human","0.1549","","0","0"
"519","C0516922","Caregiver Well-Being","0.1545","","0","0"
"520","C2676739","Chromosome 2q32-Q33 Deletion Syndrome","0.1538","","0","0"
"521","C1527353","Algodystrophic Syndrome","0.1538","","0","0"
"522","C4082365","Choline O-Acetyltransferase, human","0.1532","","0","0"
"523","C5394844","Fluctuating level of consciousness","0.1525","","0","0"
"524","C4760905","Internet gaming disorder","0.1524","","0","0"
"525","C1551394","normal Device Alert Level","0.1523","","0","0"
"526","C0085742","Injuries, Acute Brain","0.1519","","0","0"
"527","C4011788","Behavioral variant of frontotemporal dementia","0.1517","","0","0"
"528","C3825986","Meningitis in children","0.1517","","0","0"
"529","C4290000","acute flaccid myelitis","0.1516","","0","0"
"530","C0852602","Neurologic diagnostic procedures","0.1515","","0","0"
"531","C5392078","Internet Addiction Disorder","0.1503","","0","0"
"532","C4704841","Dignity","0.1497","","0","0"
"533","C0700158","Direction brand of orthodontic bonding material","0.1497","","0","0"
"534","C0725066","Advance -- medical device","0.149","","0","0"
"535","C4080995","Dyanavel XR","0.148","","0","0"
"536","C3883382","Evekeo","0.1465","","0","0"
"537","C1822204","Control of noise","0.1464","","0","0"
"538","C1567332","CASP3 protein, human","0.146","","0","0"
"539","C0252274","HD protein, human","0.1456","","0","0"
"540","C0291573","caspase-3","0.1454","","0","0"
"541","C4490125","Mydayis","0.145","","0","0"
"542","C0234398","Visual Cortex Disorder","0.1436","","0","0"
"543","C0393483","Brainstem encephalitis","0.143","","0","0"
"544","C1321601","Personal autonomy behavior","0.1429","","0","0"
"545","C4520849","Living","0.1424","","0","0"
"546","C1551395","Device Alert Level - Serious","0.1415","","0","0"
"547","C0149843","Punch drunk syndrome","0.1414","","0","0"
"548","C4698491","Rather","0.1401","","0","0"
"549","C0013032","Dopamine-beta-monooxygenase","0.1399","","0","0"
"550","C1567151","Antemortem Diagnosis","0.1389","","0","0"
"551","C0008407","Choline O-Acetyltransferase","0.1386","","0","0"
"552","C1514893","physiologic resolution","0.1382","","0","0"
"553","C0452377","Low allergen diet","0.1378","","0","0"
"554","C0022169","Isoelectric Focusing","0.1351","","0","0"
"555","C4277701","Applied Behavior Analysis","0.1345","","0","0"
"556","C0270731","Parkinson-dementia complex of Guam","0.1336","","0","0"
"557","C0333584","Protein deposition","0.1334","","0","0"
"558","C5544511","Technology Addiction","0.1312","","0","0"
"559","C4522138","Device Migration Problem","0.1303","","0","0"
"560","C0058188","latrepirdine","0.13","","0","0"
"561","C0442735","Nothing","0.1297","","0","0"
"562","C0751438","Posterior pituitary disease","0.1294","","0","0"
"563","C2227885","APP gene (procedure)","0.1285","","0","0"
"564","C0600072","Feeding and dietary regimes","0.1283","","0","0"
"565","C3812802","Green - answer to question","0.1283","","0","0"
"566","C2584304","Writing (function)","0.1282","","0","0"
"567","C3272743","Missing Study Animal","0.1281","","0","0"
"568","C1837463","Narrow face","0.1278","","0","0"
"569","C0238111","Lennox-Gastaut syndrome","0.127","","0","0"
"570","C1576875","Write - language ability","0.1264","","0","0"
"571","C1552745","Equipment Alert Level - Serious","0.1257","","0","0"
"572","C3835651","Resident - answer to question","0.1256","","0","0"
"573","C0743099","DETERIORATION FROM BASELINE","0.1251","","0","0"
"574","C0376329","New Variant Creutzfeldt-Jakob Disease","0.1251","","0","0"
"575","C3843780","60-64","0.125","","0","0"
"576","C4049936","Patient status determination, deceased and body donated","0.1249","","0","0"
"577","C0149921","lead poisoning in children","0.1249","","0","0"
"578","C4048351","Galactocerebrosidase, human","0.1246","","0","0"
"579","C1551393","Container status - Missing","0.1238","","0","0"
"580","C0185061","fragmentation procedure","0.1231","","0","0"
"581","C3495884","Amyloid related imaging abnormalities","0.1225","","0","0"
"582","C0426867","Form of hand","0.1222","","0","0"
"583","C2718001","Protein Misfolding Disorders","0.122","","0","0"
"584","C3160715","Mixed Cell Morphology","0.1219","","0","0"
"585","C1311406","PSEN2 protein, human","0.1215","","0","0"
"586","C0872190","Huntington protein","0.1206","","0","0"
"587","C0683900","driving skills","0.12","","0","0"
"588","C0031671","Phospholipase","0.12","","0","0"
"589","C3495887","ARIA-H","0.1198","","0","0"
"590","C1550604","color additive","0.1196","","0","0"
"591","C0440102","Various patch test substance","0.1195","","0","0"
"592","C3494361","Prodromal Stage","0.1193","","0","0"
"593","C1873497","Normal assessment finding","0.1187","","0","0"
"594","C0478530","Examination and observation for unspecified reason","0.1178","","0","0"
"595","C3806051","Recovery between attacks","0.1176","","0","0"
"596","C0079883","N-Methylaspartate","0.1171","","0","0"
"597","C3711850","Opticospinal Multiple Sclerosis","0.1169","","0","0"
"598","C0384782","polyglutamine","0.1166","","0","0"
"599","C0107103","Brain-Derived Neurotrophic Factor","0.1162","","0","0"
"600","C0108471","carboxypeptidase C","0.1158","","0","0"
"601","C5392818","Smartphone Addiction","0.1147","","0","0"
"602","C4721533","Neuropeptide Y, human","0.114","","0","0"
"603","C1389790","Bielschowsky","0.1133","","0","0"
"604","C2700258","Volume Measurement","0.1132","","0","0"
"605","C1550457","Normal Observation Interpretation","0.1132","","0","0"
"606","C4699603","Totally","0.1123","","0","0"
"607","C4021759","Generalized myoclonic seizures","0.1121","","0","0"
"608","C4750718","Cyclin-dependent kinase-like 5 deficiency","0.112","","0","0"
"609","C2698457","Neuropeptide Y Measurement","0.1115","","0","0"
"610","C4279967","Haptotaxis","0.1107","","0","0"
"611","C0027893","neuropeptide Y","0.1105","","0","0"
"612","C4551993","Amyotrophic Lateral Sclerosis, Familial","0.1101","","0","0"
"613","C4061411","Ethnic minority status","0.1098","","0","0"
"614","C0580938","Loss of judgement","0.1094","","0","0"
"615","C2702351","apple allergenic extract","0.1087","","0","0"
"616","C1561581","Allergy Severity - Severe","0.1082","","0","0"
"617","C0596306","Chemical Association","0.1074","","0","0"
"618","C3693207","Atypical bovine spongiform encephalopathy","0.1073","","0","0"
"619","C0068673","niaprazine","0.1068","","0","0"
"620","C5233532","Scleroderma-like skin changes","0.1067","","0","0"
"621","C0728873","Monitor brand of insecticide","0.1066","","0","0"
"622","C4060048","QuilliChew","0.1065","","0","0"
"623","C3832890","Neuraceq","0.1065","","0","0"
"624","C0034783","Adrenergic Receptor","0.1062","","0","0"
"625","C4302059","Single unprovoked seizure","0.106","","0","0"
"626","C4722465","Liquid Dose Form Category","0.1059","","0","0"
"627","C0026706","Mucopolysaccharidosis III","0.1054","","0","0"
"628","C0169424","amyloid beta-protein (1-42)","0.1054","","0","0"
"629","C1955473","Others - Allergy","0.1048","","0","0"
"630","C4021799","Restrictive behavior","0.1046","","0","0"
"631","C0849912","Emotional","0.1043","","0","0"
"632","C1148554","Determination Aspects","0.1039","","0","0"
"633","C1304698","Liquid (finding)","0.1039","","0","0"
"634","C0669516","superoxide dismutase 1","0.1035","","0","0"
"635","C0332869","Developmental immaturity","0.1034","","0","0"
"636","C4722630","Solution Dosage Form Category","0.1032","","0","0"
"637","C0049482","6-amino-1-hydroxyhexane-1,1-diphosphonate","0.1028","","0","0"
"638","C0004712","Balo's Concentric Sclerosis","0.1028","","0","0"
"639","C0016957","GALACTOSYLCERAMIDASE","0.1022","","0","0"
"640","C0741895","CARBAMAZEPINE TREATMENT","0.1019","","0","0"
"641","C0033634","Protein Kinase C","0.1017","","0","0"
"642","C4047917","Cereal plant straw","0.1015","","0","0"
"643","C0680174","ethnic","0.1013","","0","0"
"644","C0424653","Weight symptom (finding)","0.1012","","0","0"
"645","C4524985","Organic Impurity","0.1009","","0","0"
"646","C1959633","Spatial guidance for medical procedure","0.1009","","0","0"
"647","C0268418","Deficiency of glycerol kinase","0.1008","","0","0"
"648","C4084344","Adzenys XR-ODT","0.1004","","0","0"
"649","C3658228","S100 Calcium Binding Protein beta Subunit","0.1003","","0","0"
"650","C0751437","Adenohypophyseal Diseases","0.1","","0","0"
"651","C0011757","Developmental Coordination Disorder","0.1","","0","0"
"652","C2022963","human leukocyte antigen DR4 (lab test)","0.0999","","0","0"
"653","C3898758","Inner restlessness","0.0998","","0","0"
"654","C3540658","exposure to air pollution (history)","0.0997","","0","0"
"655","C0751122","Infantile Severe Myoclonic Epilepsy","0.0995","","0","0"
"656","C5545234","Video Game Addiction","0.0993","","0","0"
"657","C0067684","N-acetylaspartate","0.0992","","0","0"
"658","C4522813","Cotempla XR-ODT","0.0992","","0","0"
"659","C3840786","Greatly","0.099","","0","0"
"660","C1697794","Liquid Dosage Form","0.0989","","0","0"
"661","C5401000","Membrane-Spanning 4-Domains Subfamily A Member 4A, Human","0.0989","","0","0"
"662","C1880121","Color Assessment","0.0981","","0","0"
"663","C5542959","Tau pathology","0.0972","","0","0"
"664","C4722175","N-Acetyl Aspartate Measurement","0.0969","","0","0"
"665","C5139976","CAPTURE","0.0957","","0","0"
"666","C0204091","Sign language training","0.0956","","0","0"
"667","C3540762","various other agents for local oral treatment in ATC","0.0954","","0","0"
"668","C0438925","Dementia test","0.6216","","0","0"
"669","C0750901","Alzheimer Disease, Early Onset","0.6211","","0","0"